ID,FIPS,State,County,Full
91,48183,TX,Gregg County,"Gregg County, TX"
92,48185,TX,Grimes County,"Grimes County, TX"
93,48187,TX,Guadalupe County,"Guadalupe County, TX"
94,48189,TX,Hale County,"Hale County, TX"
95,48191,TX,Hall County,"Hall County, TX"
96,48193,TX,Hamilton County,"Hamilton County, TX"
97,48195,TX,Hansford County,"Hansford County, TX"
98,48197,TX,Hardeman County,"Hardeman County, TX"
99,48199,TX,Hardin County,"Hardin County, TX"
100,48201,TX,Harris County,"Harris County, TX"
101,48203,TX,Harrison County,"Harrison County, TX"
102,48205,TX,Hartley County,"Hartley County, TX"
103,48207,TX,Haskell County,"Haskell County, TX"
104,48209,TX,Hays County,"Hays County, TX"
105,48211,TX,Hemphill County,"Hemphill County, TX"
106,48213,TX,Henderson County,"Henderson County, TX"
107,48215,TX,Hidalgo County,"Hidalgo County, TX"
108,48217,TX,Hill County,"Hill County, TX"
109,48219,TX,Hockley County,"Hockley County, TX"
110,48221,TX,Hood County,"Hood County, TX"
111,48223,TX,Hopkins County,"Hopkins County, TX"
112,48225,TX,Houston County,"Houston County, TX"
113,48227,TX,Howard County,"Howard County, TX"
114,48229,TX,Hudspeth County,"Hudspeth County, TX"
115,48231,TX,Hunt County,"Hunt County, TX"
116,48233,TX,Hutchinson County,"Hutchinson County, TX"
117,48235,TX,Irion County,"Irion County, TX"
118,48237,TX,Jack County,"Jack County, TX"
119,48239,TX,Jackson County,"Jackson County, TX"
120,48241,TX,Jasper County,"Jasper County, TX"
121,48243,TX,Jeff Davis County,"Jeff Davis County, TX"
122,48245,TX,Jefferson County,"Jefferson County, TX"
123,48247,TX,Jim Hogg County,"Jim Hogg County, TX"
124,48249,TX,Jim Wells County,"Jim Wells County, TX"
125,48251,TX,Johnson County,"Johnson County, TX"
126,48253,TX,Jones County,"Jones County, TX"
127,48255,TX,Karnes County,"Karnes County, TX"
128,48257,TX,Kaufman County,"Kaufman County, TX"
129,48259,TX,Kendall County,"Kendall County, TX"
130,48263,TX,Kent County,"Kent County, TX"
131,48265,TX,Kerr County,"Kerr County, TX"
132,48267,TX,Kimble County,"Kimble County, TX"
133,48271,TX,Kinney County,"Kinney County, TX"
134,48273,TX,Kleberg County,"Kleberg County, TX"
135,48275,TX,Knox County,"Knox County, TX"
136,48277,TX,Lamar County,"Lamar County, TX"
137,48279,TX,Lamb County,"Lamb County, TX"
138,48281,TX,Lampasas County,"Lampasas County, TX"
139,48283,TX,La Salle County,"La Salle County, TX"
140,48285,TX,Lavaca County,"Lavaca County, TX"
141,48287,TX,Lee County,"Lee County, TX"
142,48289,TX,Leon County,"Leon County, TX"
143,48291,TX,Liberty County,"Liberty County, TX"
144,48293,TX,Limestone County,"Limestone County, TX"
145,48295,TX,Lipscomb County,"Lipscomb County, TX"
146,48297,TX,Live Oak County,"Live Oak County, TX"
147,48299,TX,Llano County,"Llano County, TX"
148,48303,TX,Lubbock County,"Lubbock County, TX"
149,48305,TX,Lynn County,"Lynn County, TX"
150,48307,TX,McCulloch County,"McCulloch County, TX"
151,48309,TX,McLennan County,"McLennan County, TX"
152,48311,TX,McMullen County,"McMullen County, TX"
153,48313,TX,Madison County,"Madison County, TX"
154,48315,TX,Marion County,"Marion County, TX"
155,48317,TX,Martin County,"Martin County, TX"
156,48319,TX,Mason County,"Mason County, TX"
157,48321,TX,Matagorda County,"Matagorda County, TX"
158,48323,TX,Maverick County,"Maverick County, TX"
159,48325,TX,Medina County,"Medina County, TX"
160,48327,TX,Menard County,"Menard County, TX"
161,48329,TX,Midland County,"Midland County, TX"
162,48331,TX,Milam County,"Milam County, TX"
163,48333,TX,Mills County,"Mills County, TX"
164,48335,TX,Mitchell County,"Mitchell County, TX"
165,48337,TX,Montague County,"Montague County, TX"
166,48339,TX,Montgomery County,"Montgomery County, TX"
167,48341,TX,Moore County,"Moore County, TX"
168,48343,TX,Morris County,"Morris County, TX"
169,48345,TX,Motley County,"Motley County, TX"
170,48347,TX,Nacogdoches County,"Nacogdoches County, TX"
171,48349,TX,Navarro County,"Navarro County, TX"
172,48351,TX,Newton County,"Newton County, TX"
173,48353,TX,Nolan County,"Nolan County, TX"
174,48355,TX,Nueces County,"Nueces County, TX"
175,48357,TX,Ochiltree County,"Ochiltree County, TX"
176,48359,TX,Oldham County,"Oldham County, TX"
177,48361,TX,Orange County,"Orange County, TX"
178,48363,TX,Palo Pinto County,"Palo Pinto County, TX"
179,48365,TX,Panola County,"Panola County, TX"
180,48367,TX,Parker County,"Parker County, TX"
181,48369,TX,Parmer County,"Parmer County, TX"
182,48371,TX,Pecos County,"Pecos County, TX"
183,48373,TX,Polk County,"Polk County, TX"
184,48375,TX,Potter County,"Potter County, TX"
185,48377,TX,Presidio County,"Presidio County, TX"
186,48379,TX,Rains County,"Rains County, TX"
187,48381,TX,Randall County,"Randall County, TX"
188,48383,TX,Reagan County,"Reagan County, TX"
189,48385,TX,Real County,"Real County, TX"
190,48387,TX,Red River County,"Red River County, TX"
191,48389,TX,Reeves County,"Reeves County, TX"
192,48391,TX,Refugio County,"Refugio County, TX"
193,48393,TX,Roberts County,"Roberts County, TX"
194,48395,TX,Robertson County,"Robertson County, TX"
195,48397,TX,Rockwall County,"Rockwall County, TX"
196,48399,TX,Runnels County,"Runnels County, TX"
197,48401,TX,Rusk County,"Rusk County, TX"
198,48403,TX,Sabine County,"Sabine County, TX"
199,48405,TX,San Augustine County,"San Augustine County, TX"
200,48407,TX,San Jacinto County,"San Jacinto County, TX"
201,48409,TX,San Patricio County,"San Patricio County, TX"
202,48411,TX,San Saba County,"San Saba County, TX"
203,48413,TX,Schleicher County,"Schleicher County, TX"
204,48415,TX,Scurry County,"Scurry County, TX"
205,48417,TX,Shackelford County,"Shackelford County, TX"
206,48419,TX,Shelby County,"Shelby County, TX"
207,48421,TX,Sherman County,"Sherman County, TX"
208,48423,TX,Smith County,"Smith County, TX"
209,48425,TX,Somervell County,"Somervell County, TX"
210,48427,TX,Starr County,"Starr County, TX"
211,48429,TX,Stephens County,"Stephens County, TX"
212,48431,TX,Sterling County,"Sterling County, TX"
213,48433,TX,Stonewall County,"Stonewall County, TX"
214,48435,TX,Sutton County,"Sutton County, TX"
215,48437,TX,Swisher County,"Swisher County, TX"
216,48439,TX,Tarrant County,"Tarrant County, TX"
217,48441,TX,Taylor County,"Taylor County, TX"
218,48443,TX,Terrell County,"Terrell County, TX"
219,48445,TX,Terry County,"Terry County, TX"
220,48447,TX,Throckmorton County,"Throckmorton County, TX"
221,48449,TX,Titus County,"Titus County, TX"
222,48451,TX,Tom Green County,"Tom Green County, TX"
223,48453,TX,Travis County,"Travis County, TX"
224,48455,TX,Trinity County,"Trinity County, TX"
225,48457,TX,Tyler County,"Tyler County, TX"
226,48459,TX,Upshur County,"Upshur County, TX"
227,48461,TX,Upton County,"Upton County, TX"
228,48463,TX,Uvalde County,"Uvalde County, TX"
229,48465,TX,Val Verde County,"Val Verde County, TX"
230,48467,TX,Van Zandt County,"Van Zandt County, TX"
231,48469,TX,Victoria County,"Victoria County, TX"
232,48471,TX,Walker County,"Walker County, TX"
233,48473,TX,Waller County,"Waller County, TX"
234,48475,TX,Ward County,"Ward County, TX"
235,48477,TX,Washington County,"Washington County, TX"
236,48479,TX,Webb County,"Webb County, TX"
237,48481,TX,Wharton County,"Wharton County, TX"
238,48483,TX,Wheeler County,"Wheeler County, TX"
239,48485,TX,Wichita County,"Wichita County, TX"
240,48487,TX,Wilbarger County,"Wilbarger County, TX"
241,48489,TX,Willacy County,"Willacy County, TX"
242,48491,TX,Williamson County,"Williamson County, TX"
243,48493,TX,Wilson County,"Wilson County, TX"
244,48495,TX,Winkler County,"Winkler County, TX"
245,48497,TX,Wise County,"Wise County, TX"
246,48499,TX,Wood County,"Wood County, TX"
247,48501,TX,Yoakum County,"Yoakum County, TX"
248,48503,TX,Young County,"Young County, TX"
249,48505,TX,Zapata County,"Zapata County, TX"
250,48507,TX,Zavala County,"Zavala County, TX"
